Title,Description
1536,Plate-forme allongée permettant de rouler avec tous types de chaussures ; idéal pour la randonnée.
1537,Pédales automatiques légères et robustes avec tension réglable.
1538,Acier inoxydable ; facile à nettoyer.
1539,Pédales automatiques - aluminium.
1540,Fabrication en alliage d'aluminium léger.
1541,Pédales automatiques haut de gamme avec tension réglable.
1542,Pédale stable pour longs trajets.
1543,Bouchon de remplissage ; étriers en aluminium poli.
1544,Dérailleur en aluminium 10 vitesses avec supports de galet hermétiques.
1545,Roue de secours tout-terrain arrière pour vététiste occasionnel.
1546,Roue de secours tout-terrain arrière pour vététiste amateur à confirmé.
1547,"Jantes très robustes, solidité garantie."
1548,Roue de secours arrière pour cycliste occasionnel.
1549,Jante en alliage d'aluminium avec rayons en acier inoxydable ; pour une vitesse optimale.
1550,Roue arrière solide avec jante doublée.
1551,Excellentes jantes aérodynamiques pour une conduite en souplesse.
1552,Cuir synthétique. Confort amélioré grâce au couvre-selle en gel.
1553,Conçu pour absorber les chocs.
1554,Conception ergonomique pour randonnée longue distance confortable. Cuir de qualité.
1555,Selle légère avec renfort en mousse.
1556,Amortisseurs en caoutchouc pour absorber les bosses.
1557,Selle de course légère en Kevlar. Cuir.
1558,Selle confortable et ergonomique profilée avec couvre-selle en gel.
1559,Nouvelle conception pour éviter la fatigue lors des longues randonnées.
1560,Cadre profilé pour améliorer le confort.
1561,"Traction comparable aux modèles haut de gamme, gomme de pneu moins chère."
1562,"Grande traction, caoutchouc haute densité."
1563,Traction exceptionnelle ; carbone léger renforcé.
1564,"Même dessin que les pneus plus chers, mais doté d'une gomme moins chère."
1565,Caoutchouc plus dense que sur les autres modèles.
1566,"Carbone léger renforcé pour un confort de conduite inégalé, sans ajout de poids."
1567,Caoutchouc haute densité.
1568,Tube à autovulcanisation.
1569,Tube classique tous usages.
1570,Tube à usage générique.
1571,"Le cadre LL en aluminium offre une conduite confortable, une excellente absorption des bosses pour un très bon rapport qualité-prix."
1572,"Doté du même alliage en aluminium que notre cadre HL haut de gamme, le ML possède un tube léger dont le diamètre est prévu pour offrir une résistance optimale. Version hommes."
1573,Notre cadre en aluminium plus léger et de qualité supérieure fabriqué à partir du tout dernier alliage ; cadre soudé et traité à chaud pour une meilleure résistance. Le résultat d'une conception innovante pour un confort et des performances maximum.
1574,Cadre renforcé léger pour une position plus droite ; idéal pour les promenades en ville. Ligne remarquable pour un confort optimal.
1575,Le cadre HL est profilé afin d'associer élégance et robustesse ; il est prévu pour résister à une utilisation quotidienne intensive. Version hommes.
1576,Éclairage peu onéreux pour la conduite de nuit - utilise 3 piles AAA.
1577,Le porte-bidon en aluminium est plus léger que la version VTT ; idéal pour les longues randonnées.
1578,"Bidon d'eau avec le logo de l'équipe AWC - capacité 0,75 litre, entièrement étanche."
1579,Porte-vélo sécurisé pour 4 vélos ; fabrication en acier ; adaptable sur attache-remorque.
1580,Garde-boue adapté à la plupart des VTT.
1581,Combinaison de fibres naturelles et synthétiques ; reste sèche et offre le confort nécessaire.
1582,"Très pratique. Tient dans la poche. Corps en aluminium. 11,2 bars."
1583,"Conçu pour l'équipe professionnelle AWC, à bretelles, contrôle de l'humidité, peau de chamois et bande anti-remontée."
1584,Fabrication en nylon résistant étanche d'accès facile. Suffisamment grand pour les randonnées du week-end.
1585,"Entièrement rembourré, amélioration de la souplesse de mouvement des doigts, paume renforcée, fermeture réglable."
1586,"Paume synthétique, poignets souples, ouverture maillée anti-transpiration. Adopté par les professionnels de l'équipe AWC."
1587,"Cuissards résistants à l'usure pour utilisation intensive, doublés à l'intérieur en Spandex, sans couture, peau de chamois anti-bactérie pour un meilleur confort."
1588,"Comprend 8 rustines de tailles différentes, de la colle et du papier de verre."
1589,Sacs légers et résistants au vent ; tiennent dans la poche.
1590,Cuissards de course pour hommes - en Spandex avec un élastique à la ceinture et bande anti-remontée.
1591,"Support de type home trainer idéal pour vous entraîner en intérieur (pour tous les modèles de vélo). Fixations rapides, fabrication en acier."
1592,Feu avant rechargeable à deux faisceaux.
1593,Feu avant robuste.
1594,"Maillot manches courtes classique et anti-transpiration avec contrôle de l'humidité, fermeture avant à glissière et 3 poches arrière."
1595,Simple et léger. Rustines de secours rangées dans la poignée.
1596,"Fin, léger et résistant avec des poignets qui restent en place."
1597,Porte-bidon en aluminium robuste qui maintient le bidon sur les terrains accidentés.
1598,Style classique avec une visière relevable ; taille unique.
1599,"Maillot de cycliste en microfibre avec le logo de l'équipe AWV, manches longues, unisexe."
1600,"Légère, aérée, taille unique, avec une visière amovible."
1601,Sac d'hydratation de 3 l polyvalent. Permet de stocker des aliments supplémentaires. Facile d'accès et fourni avec une ceinture.
1602,Collants chauds en Spandex pour l'hiver ; fabrication en chamoisine sans couture pour éliminer les points de frottement.
1603,Nettoie les saletés ; dissout la graisse. Protège l'environnement. Bouteille d'1 litre.
1604,"S'enroule pour s'adapter aux pneus avant et arrière, sac et deux clés fournis."
1605,"Chaque cadre est fabriqué artisanalement dans notre atelier de Bordeaux afin d'obtenir le diamètre et l'épaisseur adaptés à un vélo tout-terrain de premier choix. Le cadre en aluminium soudé à chaud présente un tube d'un plus grand diamètre, afin d'absorber les bosses."
1606,โลหะโครโมลี
1607,ดุมอลูมิเนียมอัลลอยด์ แกนเพลาขนาดใหญ่
1608,ดุมอลูมิเนียมอัลลอยด์และเพลากลวง
1609,เหมาะสำหรับการขี่ทุกประเภท ทั้งบนถนนและแบบออฟโรด  ในราคาย่อมเยา เปลี่ยนเกียร์อย่างนุ่มนวล พร้อมการขับขี่ที่แสนสบาย
1610,จักรยานรุ่นนี้มีประสิทธิภาพสูง ในราคาประหยัด  ควบคุมง่าย ทันใจ และให้ความมั่นใจเปี่ยมล้นเมื่อคุณต้องการขี่แบบออฟโรด
1611,สำหรับนักปั่นทางวิบากตัวจริง  เป็นจักรยานที่ทนทานเป็นเยี่ยม พร้อมสำหรับทุกเส้นทาง มีระบบบังคับทิศทางที่สมบูรณ์แบบในพื้นที่วิบาก โดยไม่ทำให้คุณกระเป๋าฉีก
1612,สำหรับการขี่ในเส้นทางผจญภัย  เหมาะที่สุดสำหรับการแข่งขันทุกระดับ  ใช้เฟรม HL เช่นเดียวกับในรุ่น Mountain-100
1613,สุดยอดจักรยานภูเขาสำหรับการแข่งขัน สมบูรณ์แบบด้วยองค์ประกอบสำหรับประสิทธิภาพสูงสุด เช่น เฟรม HL นวัตกรรมใหม่ ระบบกันกระเทือนด้านหน้าที่นุ่มนวลเป็นพิเศษ และยางที่ยึดเกาะทุกสภาพเส้นทาง
1614,เหมาะสำหรับเส้นทางวิบากทุกประเภท  ในราคาย่อมเยา
1615,จักรยานระดับเริ่มต้นสำหรับผู้ใหญ่ ให้ความสบายในการขับขี่แม้ในเส้นทางทุรกันดารหรือในเมือง  ดุมและขอบล้อถอดได้สะดวก
1616,จักรยานที่ให้ความคุ้มค่า ด้วยคุณสมบัติพิเศษมากมายจากรุ่นที่ดีที่สุด  พร้อมเฟรมที่เบา แกร่ง และอัตราเร่งที่สร้างชื่อเสียงให้กับเรา
1617,เทคโนโลยีเดียวกับจักรยานรุ่น Road ทั้งหมด แต่ใช้เฟรมขนาดกะทัดรัดสำหรับสุภาพสตรี  เหมาะสำหรับการขับขี่อเนกประสงค์ ไม่ว่าจะเป็นท้องถนนทั่วไปหรือการแข่งขัน
1618,เทคโนโลยีเดียวกับจักรยานรุ่น Road ทั้งหมด  เหมาะสำหรับการขับขี่อเนกประสงค์ ไม่ว่าจะเป็นท้องถนนทั่วไปหรือการแข่งขัน
1619,จักรยานแข่งขันอเนกประสงค์ที่ให้การขับขี่ที่คล่องตัว และรูปลักษณ์ที่ไม่ซ้ำใคร  การออกแบบแอโรไดนามิค ช่วยให้คุณเทียบชั้นกับมืออาชีพ พร้อมกับระบบเกียร์ที่จะนำคุณทะยานเหนือเส้นทางบนภูเขาได้สบาย
1620,ออกกำลัง แข่งขัน หรือสนุกสนานไปบนจักรยานคันเก๋ในรูปทรงแอโรไดนามิค  พร้อมด้วยเทคโนโลยีเบาะนั่งชั้นสูงที่ช่วยให้คุณขี่อย่างสบายได้ทั้งวัน
1621,ออกกำลัง แข่งขัน หรือสนุกสนานไปบนจักรยานคันเก๋ในรูปทรงแอโรไดนามิค ได้รับการออกแบบสำหรับนักปั่นสตรีโดยเฉพาะ  พร้อมด้วยเทคโนโลยีเบาะนั่งชั้นสูงที่ช่วยให้คุณขี่อย่างสบายได้ทั้งวัน
1622,เฟรมอลูมิเนียมอัลลอยด์ ให้การขับขี่ที่เบา มั่นคง ไม่ว่าคุณจะแข่งอยู่ในเวโลโดรม หรือเผชิญกับเส้นทางที่ท้าทายเพียงใด
1623,จักรยานคู่ใจของนักแข่งระดับแชมเปี้ยน  ได้รับการพัฒนาโดยทีมแข่ง Adventure Works Cycles ใช้เฟรมอลูมิเนียมผ่านความร้อนซึ่งเบาเป็นพิเศษ และการบังคับที่แม่นยำ
1624,จักรยานอเนกประสงค์สุดคุ้ม พร้อมความสบายและความปลอดภัยมาตรฐาน  ใช้ยางขนาดใหญ่ ให้ความมั่นใจในการขับขี่ในเมืองหรือในการท่องเที่ยวสุดสัปดาห์
1625,เบาะนั่งหุ้มพิเศษช่วยให้คุณขี่อย่างสบายตลอดทั้งวัน ตะแกรงออกแบบใหม่ มีพื้นที่เหลือเฟือสำหรับตะกร้าและกระเป๋า ขับขี่อย่างมั่นคง แม้ขณะบรรทุกของ
1626,เดินทางอย่างมาดมั่นและสะดวกสบาย  ได้รับการออกแบบเพื่อให้ปลอดภัยและขับขี่สบายสูงสุด  ช่วงเกียร์กว้าง พร้อมทุกเส้นทางลาดชัน  โครงสร้างอลูมิเนียมอัลลอยด์จากวิทยาการขั้นสูง ให้ความทนทานและมีน้ำหนักเบา
1627,ประสิทธิภาพการเปลี่ยนเกียร์ที่เหนือกว่า
1628,เพลาล้อสุดแกร่ง
1629,คันบังคับแข็งแรงเป็นพิเศษ
1630,ชุดควบคุมสามชั้น คันบังคับอลูมิเนียม และการเปลี่ยนเกียร์ที่สมบูรณ์แบบ
1631,ยางเบรกสำหรับทุกสภาพอากาศ เพื่อการหยุดที่มั่นใจ ด้วยหน้าสัมผัสกับขอบล้อมากกว่า
1632,การออกแบบให้มีจุดเชื่อมกว้าง
1633,การออกแบบที่มั่นคง รับแรงกระแทกและให้การควบคุมที่แม่นยำ
1634,ตะเกียบคู่โลหะผสม พร้อมท่อคันบังคับอลูมิเนียม
1635,ตะเกียบคู่คาร์บอนประสิทธิภาพสูง พร้อมขาโค้ง
1636,ความคุ้มค่าที่มาพร้อมกับเทคโนโลยีการออกแบบเฟรมเหมือนกับเฟรมอลูมิเนียม ML
1637,เฟรม ML เป็นเฟรมอลูมิเนียมผ่านความร้อน สร้างอย่างพิถีพิถันเช่นเดียวกับเฟรม HL  ให้ประสิทธิภาพที่เหนือกว่า  เวอร์ชันสำหรับสุภาพบุรุษ
1638,เฟรม ML เป็นเฟรมอลูมิเนียมผ่านความร้อน สร้างอย่างพิถีพิถันเช่นเดียวกับเฟรม HL  ให้ประสิทธิภาพที่เหนือกว่า  เวอร์ชันสำหรับสุภาพสตรี
1639,เฟรมแต่ละชิ้นผ่านการสร้างด้วยมือในโรงงาน Bothell เพื่อให้ได้ขนาดและความหนาที่เหมาะที่สุดสำหรับเฟรมจักรยานภูเขาชั้นดี  เฟรมอลูมิเนียมหล่อด้วยความร้อน มีโพรงขนาดใหญ่ซึ่งช่วยซึมซับแรงกระแทก
1640,สร้างจากอลูมิเนียมอัลลอยชนิดเดียวกับสุดยอดเฟรม HL เฟรม ML นี้มีน้ำหนักเบา สร้างขึ้นตามขนาดที่ให้ความแข็งแกร่งเป็นเลิศ  เวอร์ชันสำหรับสุภาพสตรี
1641,ล้ออะไหล่จักรยานภูเขาสำหรับนักปั่นระดับเริ่มต้น
1642,ล้ออะไหล่จักรยานภูเขาสำหรับนักปั่นสมัครเล่นไปจนถึงมืออาชีพ
1643,ล้ออะไหล่จักรยานภูเขาประสิทธิภาพสูง
1644,ล้อหน้าจักรยานภูเขาอะไหล่สำหรับนักปั่นระดับเริ่มต้น
1645,ดุมล้ออัลลอยด์ที่ทนทาน ถอดได้อย่างรวดเร็ว
1646,ล้อที่แข็งแกร่งพร้อมขอบล้อผนังสองชั้น
1647,ขอบล้อแอโรไดนามิคสำหรับการขับขี่อย่างนุ่มนวล
1648,คันบังคับอเนกประสงค์สำหรับทุกเส้นทาง
1649,คันบังคับอลูมิเนียมอัลลอยด์ แกร่งสำหรับเส้นทางลาดชัน
1650,คันบังคับแบน แข็งแรงพอสำหรับสนามโปรเซอร์กิต
1651,รูปร่างที่เป็นเอกลักษณ์ ช่วยให้ใช้คานบันไดได้สะดวก
1652,คานอลูมิเนียมที่ออกแบบตามหลักสรีรศาสตร์ เหมาะสำหรับนักปั่นทุกคน
1653,คันบังคับชั้นเยี่ยม ได้รับการออกแบบตามหลักสรีรศาสตร์สำหรับนักแข่ง ทำจากอลูมิเนียมอัลลอยด์
1654,รูปร่างที่เป็นเอกลักษณ์ช่วยลดความล้าสำหรับนักปั่นระดับเริ่มต้น
1655,คันบังคับอลูมิเนียมแข็งแกร่ง เบา เหมาะสำหรับการขี่ระยะไกล
1656,ชุดประกอบส่วนหัวไม่มีเกลียว คุณภาพสูงในราคาประหยัด
1657,กล่องผนึกสนิทป้องกันฝุ่นละออง
1658,ชุดประกอบส่วนหัวไม่มีเกลียวคุณภาพสูง ขนาด 1 นิ้วพร้อมช่องจาระบีสำหรับการหล่อลื่นอย่างรวดเร็ว
1659,คันถีบขนาดใหญ่ สำหรับการขับขี่ด้วยรองเท้าชนิดใดก็ได้ เหมาะสำหรับการขับขี่อเนกประสงค์
1660,คันถีบน้ำหนักเบา ทนทาน ไม่มีคลิป และสามารถปรับความตึงได้
1661,โลหะสเตนเลส ได้รับการออกแบบให้สลัดโคลนออกได้ง่าย
1662,คันถีบไม่มีคลิป - อลูมิเนียม
1663,โครงสร้างอลูมิเนียมอัลลอยด์น้ำหนักเบา
1664,คันถีบระดับเยี่ยม ไม่มีคลิป ปรับความตึงได้
1665,คันถีบที่มั่นคง สำหรับการขี่เป็นเวลานาน
1666,รองเท้าถอดเปลี่ยนพื้นด้านในได้ พร้อมแคลิเปอร์อลูมิเนียมขัดเงา
1667,ชุดเฟืองอลูมิเนียม 10 สปีดพร้อมตลับลูกปืนรอกผนึกแน่นหนา
1668,ล้อหลังอะไหล่จักรยานภูเขาสำหรับนักปั่นระดับเริ่มต้น
1669,ล้อหลังอะไหล่จักรยานภูเขาสำหรับนักปั่นยามว่างไปจนถึงมืออาชีพ
1670,ขอบล้อแข็งแกร่งเป็นพิเศษเพื่อความทนทานที่รับประกันได้
1671,ล้อหลังอะไหล่สำหรับนักปั่นระดับเริ่มต้น
1672,ขอบอลูมิเนียมอัลลอยด์พร้อมซี่ล้อสเตนเลส สำหรับความเร็วสูง
1673,ล้อหลังที่แข็งแกร่งพร้อมขอบล้อผนังสองชั้น
1674,ขอบล้อแอโรไดนามิคสำหรับการขับขี่ที่นุ่มนวล
1675,หนังสังเคราะห์  พร้อมเจลนุ่มสบายเป็นพิเศษ
1676,ได้รับการออกแบบเพื่อซึมซับแรงกระแทก
1677,ออกแบบตามหลักสรีรศาสตร์ สำหรับการขับขี่อย่างสบายตลอดทั้งวัน  ทำจากหนังที่ทนทาน
1678,เบาะที่นั่งโฟมน้ำหนักเบา
1679,กันชนยางกันแรงกระแทก
1680,เบาะนั่งเคฟลาร์สำหรับแข่ง น้ำหนักเบา ทำจากหนัง
1681,เบาะนั่งบรรจุเจล นุ่มสบาย มีรูปทรงตามหลักสรีรศาสตร์
1682,ออกแบบใหม่เพื่อบรรเทาแรงกดสำหรับการขับขี่ระยะไกล
1683,เปลือกพิเศษสำหรับการขับขี่ที่แสนสบาย
1684,แรงยึดเกาะเทียบชั้นกับรุ่นระดับสูง ใช้โครงไวร์บีดราคาประหยัด
1685,แรงยึดเกาะที่เหนือกว่า ด้วยยางความหนาแน่นสูง
1686,เกาะถนนเหลือเชื่อ เสริมคาร์บอนน้ำหนักเบา
1687,ดอกยางชั้นยอดเช่นเดียวกับยางราคาแพง แต่ใช้โครงไวร์บีดราคาประหยัด
1688,ใช้ยางความหนาแน่นสูงกว่ารุ่นอื่นๆ
1689,เสริมคาร์บอนน้ำหนักเบา สำหรับการขับขี่ที่เหนือกว่า โดยไม่เสียเปรียบในด้านน้ำหนัก
1690,ยางความหนาแน่นสูง
1691,จุ๊บยางผนึกด้วยตนเอง
1692,จุ๊บอเนกประสงค์แบบเดิม
1693,จุ๊บสำหรับการใช้งานทั่วไป
1694,เฟรม LL ให้ความปลอดภัยและสบายขณะขับขี่ พร้อมทั้งซึมซับแรงกระแทก คุ้มราคาสำหรับเฟรมอลูมิเนียม
1695,สร้างจากอลูมิเนียมอัลลอยชนิดเดียวกับสุดยอดเฟรม HL เฟรม ML นี้มีน้ำหนักเบา มีขนาดที่ให้ความแข็งแกร่งเป็นเลิศ  เวอร์ชันสำหรับสุภาพบุรุษ
1696,เฟรมอลูมิเนียมคุณภาพสูงสุดและน้ำหนักเบาที่สุด สร้างจากอัลลอยด์ชนิดใหม่ ได้รับการหลอมและให้ความร้อนเพื่อความแกร่ง  ด้วยนวัตกรรมการออกแบบ ทำให้มีความสบายและประสิทธิภาพสูงในเวลาเดียวกัน
1697,เฟรมอลูมิเนียมน้ำหนักเบา ทำให้ท่วงท่าในการขับขี่ยืดตรง สำหรับทางเรียบ  ปฏิวัติการออกแบบเพื่อความสบายสูงสุด
1698,เฟรมอลูมิเนียม HL ได้รับการออกแบบอย่างพิถีพิถัน เพื่อรูปลักษณ์และความแข็งแกร่ง พร้อมผจญทุกเส้นทางในการขับขี่ประจำวัน  เวอร์ชันสำหรับสุภาพบุรุษ
1699,ไฟราคาประหยัดสำหรับการขับขี่ยามค่ำคืนที่ปลอดภัย - ใช้แบตเตอรี่ AAA 3 ก้อน
1700,โครงอลูมิเนียมมีน้ำหนักเบากว่ารุ่นภูเขา เหมาะสำหรับการเดินทางระยะไกล
1701,ขวดน้ำติดโลโก้ AWC - บรรจุ 30 ออนซ์ พร้อมป้องกันการรั่วไหล
1702,บรรทุกรถจักรยาน 4 คันอย่างปลอดภัย ด้วยโครงสร้างเหล็กกล้า ใช้กับขอเกี่ยวขนาด 2 นิ้ว
1703,แผ่นป้องกันแบบคลิปออน สำหรับจักรยานภูเขาทุกรุ่น
1704,การผสมผสานไฟเบอร์จากธรรมชาติและสังเคราะห์ แห้งสนิทและให้การรองรับที่เหมาะสม
1705,ออกแบบเพื่อความสะดวก  ขนาดกะทัดรัด ใส่พอดีกระเป๋า  กระบอกอลูมิเนียม  ขนาด 160psi
1706,ได้รับการออกแบบสำหรับทีม AWC พร้อมสายรัด ตัวควบคุมความชื้น บุชามัวส์ และที่รัดขา
1707,ทนทาน ทำจากไนลอนกันน้ำ ใช้งานง่าย  มีขนาดใหญ่พอสำหรับการเดินทางในช่วงสุดสัปดาห์
1708,บุเต็มทุกส่วน เพิ่มการยืดหยุ่นของนิ้ว แผ่นฝ่ามือทนทาน ที่รัดปรับได้
1709,แผ่นฝ่ามือสังเคราะห์ ข้อนิ้วยืดหยุ่น และตาข่ายส่วนบนช่วยระบายอากาศ  ได้รับความไว้วางใจจากนักแข่งทีม AWC
1710,กางเกงขาสั้น ทนการขีดข่วน ทำจากเส้นใยสแปนเด็กซ์ไร้ตะเข็บ พร้อมด้วยชามัวส์ป้องกันแบคทีเรีย สวมสบาย
1711,ประกอบด้วยแผ่นปะยาง 8 ขนาด กาว และกระดาษทราย
1712,น้ำหนักเบา กันลม ขนาดกะทัดรัดพอดีกระเป๋า
1713,กางเกงแข่ง 8 ช่องสำหรับสุภาพบุรุษ - เส้นใยสแปนเด็กซ์พร้อมยางยืดและที่รัดขา
1714,ขาตั้งจักรยานอเนกประสงค์สำหรับจักรยานคันโปรดของคุณที่บ้าน  ที่ยึดปรับสะดวก และโครงสร้างเหล็กกล้า
1715,ไฟหน้าสองดวงแบบชาร์จซ้ำได้
1716,ไฟหน้าแบบทนทาน กันน้ำ
1717,เสื้อแขนสั้นแบบคลาสสิค ระบายอากาศได้ดี ควบคุมความชื้น ซิปหน้า พร้อมกระเป๋าหลัง 3 ใบ
1718,เรียบง่าย น้ำหนักเบา  ที่ปะยางฉุกเฉินเก็บได้ในคันบังคับ
1719,บาง น้ำหนักเบา และทนทาน พร้อมส่วนพับที่ไม่หลุด
1720,โครงอลูมิเนียมแข็งแกร่ง สำหรับใส่ขวดน้ำในเส้นทางวิบาก
1721,แบบดั้งเดิม พร้อมขอบพับ ใช้ได้กับทุกคน
1722,เสื้อไมโครไฟเบอร์ติดโลโก้ AWC
1723,แว่นกันลมขนาดสากล ระบายอากาศได้ดี น้ำหนักเบา
1724,แพ็คขนาด 70 ออนซ์ บรรจุเครื่องดื่มสำรอง เติมง่าย พร้อมสายรัดเอว
1725,กางเกงสแปนเด็กซ์ให้ความอบอุ่นในการขับขี่หน้าหนาว บุชามัวส์ไร้ตะเข็บสำหรับจุดกดทับ
1726,ทำความสะอาดสิ่งสกปรกที่ฝังแน่น ละลายจาระบี และไม่เป็นอันตรายต่อสิ่งแวดล้อม  ขวดบรรจุ 1 ลิตร
1727,ที่หุ้มยางสำหรับยางหน้าหรือยางหลัง พร้อมที่ใส่และกุญแจสองดอก
1728,פלדת כרומולי (כרום-מולובדניום)
1729,כיסויים מסגסוגת אלומיניום; ציר רחב-קוטר.
1730,כיסויים מסגסוגת אלומיניום וציר חלול.
1731,"מתאימים לכל סוג רכיבה, בדרכים סלולות ובשבילים כאחת. מתאימים לכל תקציב. החלפת הילוכים חלקה יחד עם רכיבה נוחה."
1732,"אופניים אלה מספקים רמת ביצועים גבוהה במחיר סביר.  הם נענים וקלים לתמרון ומציעים ""ראש שקט"" כשתחליט לרכב במשעולים."
1733,מתאימים למכורים לרכיבת שטח של ממש. אופניים עמידים להפליא שניתן להגיע אתם לכל מקום מבלי לאבד את השליטה בשטח מאתגר – בלי לגרום לחור בתקציב.
1734,לרכיבה רצינית בשטחים נידחים. מתאימים לכל רמה של תחרות. באופניים אלה נעשה שימוש ב- HL Frame (מסגרת HL) זהה לזו המצויה בדגם Mountain-100 (100-הררי)
1735,"אופני הרים תחרותיים מהשורה הראשונה. אפשרויות לשיפור ביצועים הכוללות HL Frame (מסגרת (HL, שיכוך קדמי חלק במיוחד ואחיזת כביש המתאימה לכל סוגי השטח."
1736,מתאימים לכל סוג רכיבה בשבילים. מתאימים לכל תקציב.
1737,"אופני מבוגרים למתחילים; מציעים רכיבה נוחה ""מחוף לחוף"" או לאורך הרחוב. טבורים וחישורים לשחרור מהיר."
1738,אופניים המהווים תמורה נאותה למחירם ובעלי רבות מתכונות דגמי הקו המוביל שלנו. מאופיינים במסגרת המוצקה והקלה וההאצה המהירה שבהם אנו מפורסמים.
1739,"טכנולוגיה זהה לזו המצוי באופני סדרת ""כביש"" שלנו, אולם המסגרת בגודל המותאם לנשים. מושלמים כאופניים לכל מטרה לכביש ולתחרויות."
1740,"טכנולוגיה זהה לזו המצויה באופני סדרת ""כביש"" שלנו. מושלמים כאופניים לכל מטרה לכביש ולתחרויות."
1741,אופניים שבאמת מתאימים לסוגי ספורט מרובים המציעים רכיבה חלקה ועיצוב מהפכני. עיצוב אווירודינמי מאפשר רכיבה עם מקצוענים ותשלובת גלגלי השיניים תתמודד עם כל דרך הררית.
1742,"חציית שטחים, תחרות או סתם בילוי חברתי על אופניים מלוטשים ואווירודינמיים. טכנולוגיה מתקדמת של המושב מספקת נוחות לאורך כל היום."
1743,"חציית שטחים, תחרות או סתם בילוי חברתי על אופניים בעלי עיצוב מלוטש ואווירודינמי לנשים. טכנולוגיה מתקדמת של המושב מספקת נוחות לאורך כל היום."
1744,"מסגרת מסגסוגת אלומיניום מספקת רכיבה קלה ומוצקה, בין אם במסלול מרוצים ובין אם ברכיבת מועדון תובענית בדרכים כפריות."
1745,"אופניים אלה משמשים את מנצחי התחרויות. לאופניים, שפותחו יחד עם צוות המרוצים של Adventure Works Cycles (אופני חוויה), יש מסגרת אלומיניום קלה ביותר שהוקשחה בחום והיגוי המאפשר שליטה מדויקת."
1747,אופני איכות לכל מטרה עם תכונות הנוחות והבטיחות הבסיסיות שלנו. מציעים צמיגים רחבים ויציבים יותר לרכיבה ברחבי העיר או לטיולי סופשבוע.
1748,המושב המשובח והמותאם אישית מאפשר רכיבה לאורך היום כולו וקיים מקום רב להוספת תיקי אוכף ותיקי אופניים למנשא שעוצב מחדש. אופניים אלה שומרים על יציבות גם בעומס מלא.
1749,רכיבה מסוגננת ונוחה. עיצוב המיועד למרב הנוחות והבטיחות. טווח רחב של מערכות הילוכים מצליח להתגבר על כל השיפועים. מבנה סגסוגת אלומיניום עתיר ידע מספק עמידות ללא תוספת משקל.
1750,ביצועי מעולים בחילוף הילוכים.
1751,ציר קשיח במיוחד.
1752,זרוע ארכובה עתירת עוצמה.
1753,"ערכת ארכובה משולשת, זרוע ארכובה מאלומיניום, חילוף הילוכים מושלם."
1754,רפידות מעצור המתאימות לכל מזג אוויר; מספקות עצירה מעולה על-ידי החלת יותר שטח לחישוק.
1755,עיצוב רחב-חוליות.
1756,עיצוב חזק סופג זעזועים ומציע היגוי מדויק יותר.
1757,מזלג כביש מורכב עם צינור עמוד היגוי מאלומיניום.
1758,מזלג כביש מפחמן עם רגליים מוטות לביצועים גבוהים.
1759,האיכות הטובה ביותר שלנו שמנצלת טכנולוגיית מסגרת חדשנית זהה לזו שקיימת במסגרת ML מאלומיניום.
1760,מסגרת ה- ML היא מסגרת אלומיניום מוקשח בחום המיוצרת באותה הקפדה ואיכות כמו מסגרות HL שלנו. היא מציעה ביצועים מעולים. גירסה לגברים.
1761,מסגרת ה- ML היא מסגרת אלומיניום מוקשח בחום המיוצרת באותה הקפדה ואיכות כמו מסגרות HL שלנו. היא מציעה ביצועים מעולים. גירסה לנשים.
1763,תאורה במחיר סביר לרכיבה לילית בטוחה – פועלת באמצעות סוללת AAA
1764,כלוב האלומיניום קל יותר מאשר הגירסה ההררית שלנו; מושלם עבור רכיבה למרחקים ארוכים.
1765,בקבוק מים מתוצרת AWC – מכיל 850 גרם; עמיד מפני נזילה.
1766,נושא 4 זוגות אופניים בבטחה; מבנה פלדה; מתאים לרתמת מתלה של 2 אינץ'.
1767,פגושים מתחברים המתאימים לרוב האופנים לרכיבה הררית.
1768,"כל מסגרת מיוצרת ידנית במפעל שלנו ב- Bothell, לקבלת הקוטר ועובי הדופן האופטימליים שנדרשים למסגרת הטובה ביותר לרכיבה הררית. למסגרת האלומיניום המרותכת שהוקשחה בחום, יש צינור בקוטר גדול יותר הסופג את החבטות."
1770,"מסגרת ה- ML, העשויה סגסוגת אלומיניום זהה לזו המשמשת ליצור מסגרת HL מהקו המוביל שלנו, מתאפיינת בצלע תחתונה קלת משקל החרוטה לקוטר המושלם הנדרש לחוזק אופטימלי. גירסה לנשים."
1771,גלגל חלופי לרכיבה הררית לרוכב המתחיל.
1772,גלגל חלופי לרכיבה הררית לרוכב החובב והרציני.
1773,גלגל חלופי עתיר ביצועים לרכיבה הררית.
1774,גלגל חלופי קדמי לרכיבת כביש לרוכב המתחיל.
1775,סגסוגת איתנה מאפיינת את מנגנון השחרור המהיר של טבור האופן.
1776,גלגל חזק עם חישוק בעל הלחמה כפולה.
1777,חישוקים אווירודינמיים לרכיבה חלקה.
1778,ידיות לכל מטרה לרכיבת כביש ולשבילים.
1779,ידיות קשיחות מסגסוגת אלומיניום לרכיבה במורד.
1780,ידית שטוחה החזקה מספיק עבור הרוכב המקצועי.
1781,צורה ייחודית מספקת גישה קלה יותר לידיות ההילוכים.
